Date (full),Date (day),Time (cdt),Weather,Precip 1hr (in),Precip 3hr (in),Precip 6hr (in)
2026-05-30,30,12:53,Thunderstorm in Vicinity Light Rain,0.13,,0.45
2026-05-30,30,11:53,Thunderstorm Rain Fog/Mist,0.16,,
2026-05-30,30,10:53,Thunderstorm in Vicinity Light Rain,0.06,,
2026-05-30,30,09:53,Thunderstorm in Vicinity,,0.1,
2026-05-30,30,08:53,Thunderstorm,0.1,,
2026-05-30,30,06:53,Partly Cloudy,,,0.04
2026-05-30,30,03:53,Thunderstorm in Vicinity,0.04,0.04,
2026-05-29,29,00:53,Mostly Cloudy,,,0.01
2026-05-28,28,21:53,Mostly Cloudy,,0.01,
2026-05-28,28,20:53,Mostly Cloudy,0.01,,
2026-05-28,28,12:53,Light Rain,,,0.04
2026-05-28,28,11:53,Light Rain,0.01,,
2026-05-28,28,09:53,Mostly Cloudy,,0.03,
2026-05-28,28,08:53,Light Rain,0.01,,
2026-05-28,28,07:53,Light Rain,0.02,,
2026-05-28,28,06:53,Overcast,,,0.05
2026-05-28,28,05:53,Light Rain,0.01,,
2026-05-28,28,03:53,Light Rain,0.03,0.04,
2026-05-28,28,02:53,Light Rain,0.01,,
2026-05-22,22,12:53,Overcast,0.03,,0.28
2026-05-22,22,11:53,Light Rain Fog/Mist,0.16,,
2026-05-22,22,10:53,Light Rain Fog/Mist,0.02,,
2026-05-22,22,09:53,Heavy Rain Fog/Mist,0.07,0.07,
2026-05-21,21,09:53,Overcast,,0.01,
2026-05-21,21,07:53,Fog/Mist,0.01,,
